Ano,Órgão Orçamentário,Função,Grupo de Despesa,Resultado Primário,Subfunção,Projeto de Lei,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
Total,,,,,,1.450.445.433.311,1.320.014.525.616,1.418.354.560.225,1.328.682.771.366,1.135.211.696.137,1.102.747.377.012
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,0 - Financeira,122 - Administração Geral,3.171.677.325,3.171.677.325,3.304.253.833,3.208.513.729,3.208.513.729,3.198.127.077
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,2.798.602.426,2.798.602.426,290.777.153,282.019.947,282.019.947,282.012.944
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,2.083.562.638,2.083.562.638,2.725.331.899,2.673.346.029,2.673.346.029,2.663.647.935
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,361 - Ensino Fundamental,102.730.832,102.730.832,120.934.199,120.429.289,120.429.289,120.429.289
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,363 - Ensino Profissional,1.725.504.566,1.725.504.566,2.486.416.103,2.423.356.791,2.423.356.791,2.416.866.767
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,364 - Ensino Superior,9.061.968.682,9.061.968.682,11.317.334.126,11.146.350.691,11.146.329.401,11.118.758.656
2011,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,367 - Educação Especial,27.075.819,27.075.819,31.261.329,30.560.495,30.560.495,30.560.495
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,301 - Atenção Básica,322.995.743,322.995.743,370.945.542,352.544.056,344.697.607,341.313.155
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,1.420.860,1.420.860,1.420.860,738.795,556.546,556.546
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,3.904.260.359,3.904.260.359,3.882.538.381,3.835.117.704,3.830.702.751,3.828.362.216
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,136.978.529,136.978.529,140.744.087,129.297.863,129.288.489,128.990.647
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,365 - Educação Infantil,23.430.985,23.430.985,27.591.139,25.340.587,25.320.812,25.250.184
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,366 - Educação de Jovens e Adultos,192.000.000,192.000.000,152.800.000,132.803.924,132.803.924,112.979.036
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,847 - Transferências para a Educação Básica,10.706.575.688,10.706.575.688,12.233.601.121,12.132.109.798,10.082.666.088,9.770.488.721
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,523.777.031,523.777.031,542.557.342,385.991.787,276.773.815,276.058.442
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,123 - Administração Financeira,50.000,50.000,50.000,0,0,0
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,149.694.000,149.694.000,159.002.529,143.101.758,123.595.990,123.595.990
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,1.288.354.726,1.297.726.767,1.228.077.092,752.833.665,611.645.290,588.428.662
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,131 - Comunicação Social,27.000.000,27.000.000,27.000.000,27.000.000,24.548.367,24.247.356
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,212 - Cooperação Internacional,164.296.715,164.296.715,164.496.715,174.451.599,112.622.976,112.492.193
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,243 - Assistência à Criança e ao Adolescente,7.292.370,7.292.370,7.292.370,719.672,717.836,598.445
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,301 - Atenção Básica,4.800.000,4.800.000,4.800.000,3.840.000,0,0
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,229.406.341,224.033.484,205.517.635,160.840.453,111.056.955,96.365.255
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,303 - Suporte Profilático e Terapêutico,1.000.000,1.000.000,1.000.000,0,0,0
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,333 - Empregabilidade,200.000,200.000,200.000,0,0,0
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,361 - Ensino Fundamental,295.536.458,295.536.458,523.669.316,483.070.134,427.135.313,381.532.375
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,362 - Ensino Médio,1.106.149.796,1.106.149.796,1.067.348.806,1.015.665.486,904.767.320,812.038.766
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,1.261.244.547,1.271.095.781,1.788.919.351,1.558.768.213,1.239.322.306,960.423.752
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,5.916.228.993,6.023.172.131,6.129.566.921,5.653.610.428,4.485.486.313,4.403.206.901
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,8.500.000,8.500.000,6.800.000,3.392.484,2.835.484,2.835.484
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,366 - Educação de Jovens e Adultos,602.652.906,607.102.906,805.551.144,662.121.464,650.440.672,586.367.587
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,367 - Educação Especial,103.074.133,109.244.133,108.744.133,32.616.286,19.389.793,19.191.180
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,391 - Patrimônio Histórico, Artístico e Arqueológico,810.140,810.140,810.140,592.512,144.414,142.614
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,392 - Difusão Cultural,155.981.978,155.981.978,192.267.544,110.216.180,34.222.087,32.332.500
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,422 - Direitos Individuais, Coletivos e Difusos,38.298.000,38.298.000,46.075.635,6.751.353,2.584.752,2.455.990
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,98.464.571,102.704.571,112.369.865,77.020.826,61.542.323,61.155.187
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,227.358.791,227.358.791,234.156.291,195.326.290,125.247.975,125.101.681
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,813 - Lazer,4.500.000,4.500.000,4.500.000,0,0,0
2011,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,178.773.200,199.533.200,400.699.269,254.165.467,171.504.296,170.862.441
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,10.000,10.000,10.000,8.680,8.680,4.040
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,1 - Primária obrigatória, considerada no cálculo do RP,847 - Transferências para a Educação Básica,357.243.995,357.243.995,380.045.719,353.566.507,353.566.507,353.551.529
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,113.100.700,103.600.700,104.701.683,76.661.121,38.799.691,35.423.508
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,126 - Tecnologia da Informação,79.700.000,75.700.000,185.974.915,175.790.099,11.075.031,10.998.575
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,128 - Formação de Recursos Humanos,62.320.218,62.320.218,63.012.816,15.700.543,6.390.114,5.963.752
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,168.702.751,229.719.636,367.490.834,226.184.676,69.376.518,43.107.838
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,361 - Ensino Fundamental,2.327.961,2.327.961,2.870.661,2.092.764,678.863,534.337
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,362 - Ensino Médio,17.364.150,19.164.150,19.164.150,17.322.095,5.128.500,5.117.653
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,1.545.309.030,1.618.305.529,1.646.614.209,1.405.712.663,491.972.827,462.524.947
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,2.716.433.401,3.192.932.520,3.287.690.685,2.528.399.991,652.458.246,622.826.571
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,365 - Educação Infantil,30.000.000,30.126.000,68.216.262,47.227.795,542.568,542.568
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,367 - Educação Especial,52.672.345,63.322.345,63.822.345,25.687.203,929.935,921.498
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,391 - Patrimônio Histórico, Artístico e Arqueológico,395.760,395.760,395.760,156.122,4.582,4.582
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,392 - Difusão Cultural,131.900,131.900,131.900,10.860,0,0
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,571 - Desenvolvimento Científico,150.798.246,150.998.246,166.837.886,143.625.706,67.025.567,47.366.756
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,573 - Difusão do Conhecimento Científico e Tecnológico,308.100,308.100,308.100,30.391,26.095,26.095
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,813 - Lazer,500.000,500.000,500.000,0,0,0
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,2 - Primária discricionária, considerada no cálculo do RP,847 - Transferências para a Educação Básica,1.223.970.800,1.345.356.154,1.625.646.575,1.332.536.951,662.807.220,642.066.221
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,365 - Educação Infantil,890.998.785,890.998.785,890.998.785,890.998.782,310.235.641,308.484.792
2011,26000 - Ministério da Educação,12 - Educação,4 - Investimentos,3 - Primária discricionária, PAC, considerada no cálculo do RP,812 - Desporto Comunitário,729.525.000,479.525.000,479.525.000,479.524.999,117.153.107,117.051.434
2011,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,122 - Administração Geral,55.000.000,55.000.000,-1.091.235,0,0,0
2011,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,363 - Ensino Profissional,20.000.000,20.000.000,33.495.100,33.494.636,26.373.636,26.373.636
2011,26000 - Ministério da Educação,12 - Educação,5 - Inversões Financeiras,2 - Primária discricionária, considerada no cálculo do RP,364 - Ensino Superior,19.772.353,19.772.353,48.671.353,38.003.353,27.987.882,27.987.882
2011,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,3 - Outras Despesas Correntes,2 - Primária discricionária, considerada no cálculo do RP,123 - Administração Financeira,141.423.315,141.423.315,163.794.913,143.572.830,2.220.831,2.220.831
2011,74902 - Recursos sob Supervisão do Fundo de Financiamento ao Estudante do Ensino Superior/FIES - Min. da Educação,12 - Educação,5 - Inversões Financeiras,0 - Financeira,364 - Ensino Superior,1.646.961.434,1.646.961.434,2.322.966.446,2.322.966.446,1.523.766.662,1.523.766.662
2012,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,0 - Financeira,122 - Administração Geral,3.225.858.596,3.264.298.449,3.613.641.210,3.359.859.898,3.359.859.898,3.356.107.693
2012,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,122 - Administração Geral,16.985.358.338,722.317.571,597.430.626,302.662.528,302.662.528,301.493.996
2012,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,0,2.874.401.922,2.981.529.741,2.929.304.794,2.929.304.794,2.929.289.013
2012,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,363 - Ensino Profissional,0,2.573.776.918,3.244.294.819,3.158.185.309,3.158.185.309,3.135.928.599
2012,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,364 - Ensino Superior,0,10.666.361.711,11.798.246.893,11.618.334.587,11.618.311.637,11.611.516.735
2012,26000 - Ministério da Educação,12 - Educação,1 - Pessoal e Encargos Sociais,1 - Primária obrigatória, considerada no cálculo do RP,368 - Educação Básica,0,149.833.543,162.583.847,157.174.195,157.174.195,157.174.195
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,301 - Atenção Básica,369.291.830,369.291.830,403.062.432,380.645.486,376.059.617,373.829.583
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,302 - Assistência Hospitalar e Ambulatorial,1.542.627,1.542.627,1.542.627,1.509.427,1.282.177,1.254.672
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,306 - Alimentação e Nutrição,4.142.092.341,4.142.092.341,4.203.326.877,4.142.209.459,4.138.254.145,4.137.272.855
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,331 - Proteção e Benefícios ao Trabalhador,141.834.000,141.834.000,145.051.299,130.847.098,130.826.206,130.811.755
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,365 - Educação Infantil,26.897.040,26.897.040,30.123.646,27.323.047,27.321.022,27.295.305
2012,26000 - Ministério da Educação,12 - Educação,3 - Outras Despesas Correntes,1 - Primária obrigatória, considerada no cálculo do RP,366 - Educação de Jovens e Adultos,288.000.000,308.000.000,761.200.000,758.959.751,373.429.976,370.037.926
